商品名称,商品价格,商品编码,tokens,keywords
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
触头盒安装板,77,102,触头 盒 安装 板,触头:0.9757282018486272 盒:0.9086622051999573 板:0.8673754422239462
东大灰底白板1200特规,72,102,东大 灰底 白板 1200 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
东大灰底白板850特规,43,102,东大 灰底 白板 850 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
触头盒安装板,77,102,触头 盒 安装 板,触头:0.9757282018486272 盒:0.9086622051999573 板:0.8673754422239462
东大灰底白板1200特规,72,102,东大 灰底 白板 1200 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
东大灰底白板850特规,43,102,东大 灰底 白板 850 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
东大灰底白板1200特规,72,102,东大 灰底 白板 1200 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
东大灰底白板850特规,43,102,东大 灰底 白板 850 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
触头盒安装板,77,102,触头 盒 安装 板,触头:0.9757282018486272 盒:0.9086622051999573 板:0.8673754422239462
东大灰底白板1200特规,72,102,东大 灰底 白板 1200 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
东大灰底白板1200特规,72,102,东大 灰底 白板 1200 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
东大灰底白板850特规,43,102,东大 灰底 白板 850 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
触头盒安装板,77,102,触头 盒 安装 板,触头:0.9757282018486272 盒:0.9086622051999573 板:0.8673754422239462
东大灰底白板1200特规,72,102,东大 灰底 白板 1200 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
东大灰底白板850特规,43,102,东大 灰底 白板 850 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
触头盒安装板,77,102,触头 盒 安装 板,触头:0.9757282018486272 盒:0.9086622051999573 板:0.8673754422239462
东大灰底白板1200特规,72,102,东大 灰底 白板 1200 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
东大灰底白板850特规,43,102,东大 灰底 白板 850 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
亚洲机白卡1200特规,77,102,亚洲 机白卡 1200 特规,亚洲:0.9860602507218387 机白卡:0.9892450071661961 特规:0.7096552442654601
触头盒安装板,77,102,触头 盒 安装 板,触头:0.9757282018486272 盒:0.9086622051999573 板:0.8673754422239462
东大灰底白板1200特规,72,102,东大 灰底 白板 1200 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
东大灰底白板850特规,43,102,东大 灰底 白板 850 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
清风8张金装原木系列迷你型纸手帕,24,102,清风 8 张金装 原木 系列 迷你型 纸 手帕,系列:0.4442959986923783 迷你型:0.4878641009243136 纸:0.47766427043895365
触头盒安装板,77,102,触头 盒 安装 板,触头:0.9757282018486272 盒:0.9086622051999573 板:0.8673754422239462
东大灰底白板850特规,43,102,东大 灰底 白板 850 特规,灰底:0.6464568980739827 白板:0.6439877309095228 特规:0.5677241954123681
纳爱斯牙膏鲜浓果味,40,102,纳爱斯 牙膏 鲜 浓 果味,纳爱斯:0.7871675184181951 牙膏:0.7665142636072528 鲜:0.7871675184181951
阿尔卑斯混合口味棒棒糖,28,103,阿尔卑斯 混合 口味 棒棒糖,阿尔卑斯:2.0065016957256487 混合:1.77742901275711 棒棒糖:2.179788490865635
阿尔卑斯蕉香源味牛奶硬糖礼盒,76,103,阿尔卑斯 蕉 香源味 牛奶 硬糖 礼盒,阿尔卑斯:1.3376677971504325 蕉:1.4531923272437566 香源味:1.4531923272437566
阿尔卑斯田园草莓牛奶硬糖礼盒,76,103,阿尔卑斯 田园 草莓 牛奶 硬糖 礼盒,阿尔卑斯:1.3376677971504325 草莓:1.128873969067871 礼盒:0.7487200363657267
阿尔曼果仁糖,76,103,阿尔曼 果仁 糖,阿尔曼:2.906384654487513 果仁:2.5401805582648103 糖:2.2824505955203165
阿胶蜂蜜红枣,76,103,阿胶 蜂蜜 红枣,阿胶:2.6009544105294617 蜂蜜:1.8915438419130393 红枣:2.4887969983223908
阿奇卡赤霞珠传统精选,76,103,阿奇卡 赤霞 珠 传统 精选,阿奇卡:1.743830792692508 赤霞:1.315817559993254 精选:1.4219432102056881
阿颖经典淮山山药全谷多维小米米粉,75,103,阿颖 经典 淮山 山药 全谷 多维 小米 米粉,阿颖:1.0898942454328175 经典:0.7123411346647722 米粉:1.0032508478628244
艾利客AIEUKA面粉俄罗斯进口高筋面粉无添加饺子粉面,24,103,艾利客 AIEUKA 面粉 俄罗斯 进口 高筋 面粉 无添加 饺子 粉面,面粉:1.743830792692508 高筋:0.871915396346254 饺子:0.871915396346254
艾美风味发酵乳蓝莓,76,103,艾美 风味 发酵 乳 蓝莓,艾美:1.743830792692508 风味:1.125622302020845 蓝莓:1.5605726463176772
艾美牌草莓发酵乳,76,103,艾美牌 草莓 发酵 乳,艾美牌:2.179788490865635 草莓:1.6933109536018067 发酵:1.9051354186986078
艾米莉赤霞珠红葡萄酒,76,103,艾米莉 赤霞 珠 红葡萄酒,艾米莉:2.179788490865635 赤霞:1.6447719499915674 红葡萄酒:1.6169655412140114
艾趣新怡金装幼儿配方奶粉,76,103,艾趣 新怡 金装 幼儿 配方 奶粉,艾趣:1.4531923272437566 金装:1.3004772052647309 配方:1.2025127611143778
爱果士速冻青柠果茸,76,103,爱果士 速冻 青柠 果茸,爱果士:2.179788490865635 速冻:2.078422213838594 青柠:2.179788490865635
爱时乐草莓味味威化卷心酥,77,103,爱时乐 草莓味 味 威化 卷心酥,爱时乐:1.743830792692508 草莓味:1.46657192046853 威化:1.46657192046853
爱士堡小麦啤酒,35,103,爱士堡 小麦 啤酒,爱士堡:2.906384654487513 小麦:2.6009544105294617 啤酒:2.3091314980781616
爱氏晨曦儿童草莓奶酪条,76,103,爱氏 晨曦 儿童 草莓 奶酪 条,爱氏:1.4531923272437566 草莓:1.128873969067871 条:0.9270255903854046
爱仕达不锈钢奶锅,76,103,爱仕达 不锈钢 奶锅,爱仕达:2.2824505955203165 不锈钢:1.4457091095962196 奶锅:2.906384654487513
爱音儿童餐椅多功能宝宝餐椅可折叠可变摇椅床婴儿餐椅餐桌座椅,76,103,爱音 儿童 餐椅 多功能 宝宝 餐椅 可折叠 可变 摇椅 床 婴儿 餐椅 餐桌 座椅,爱音:0.6227967116758957 餐椅:1.868390135027687 餐桌:0.5938349182395983
安贝法式栗子泥,77,103,安贝 法式 栗子 泥,法式:1.9507158078970963 栗子:2.078422213838594 泥:2.0065016957256487
安帝柯林牌摩德纳香酒醋,76,103,安帝 柯林 牌 摩德纳 香酒 醋,牌:0.8891272833527943 香酒:1.4531923272437566 醋:1.2443984991611954
安佳儿童牛奶佳配,76,103,安佳 儿童 牛奶 佳配,安佳:2.179788490865635 儿童:1.0081009476205065 牛奶:1.443678746074025
安利卡塔玛精选赤霞珠红葡萄酒,76,103,安利 卡塔 玛 精选 赤霞 珠 红葡萄酒,精选:1.0156737215754914 赤霞:0.939869685709467 红葡萄酒:0.9239803092651493
安娜名画松露形软心巧克力礼盒,76,103,安娜 名画 松露 形软心 巧克力 礼盒,松露:1.3376677971504325 形软心:1.3856148092257294 礼盒:0.7487200363657267
安臻选焦糖酱,35,103,安臻选 焦糖 酱,安臻选:2.906384654487513 焦糖:2.771229618451459 酱:1.8995763591060593
氨基酸螯合铁固体饮料,76,103,氨基酸 螯合 铁 固体 饮料,螯合:1.743830792692508 铁:1.3854788988468973 饮料:1.3279424843565408
氨糖骨胶原钙维生素K酪蛋白磷酸,76,103,氨糖 骨胶原 钙 维生素 K 酪蛋白 磷酸,骨胶原:1.2455934233517914 钙:0.9781931123658498 酪蛋白:1.2455934233517914
奥地利进口牛奶格梦顿GMUNDNERMILCH部分脱脂纯牛奶,76,103,奥地利 进口 牛奶 格梦顿 GMUNDNERMILCH 脱脂 纯牛奶,进口:0.8040159300148891 脱脂:1.1465723975575135 纯牛奶:1.1876698364791967
奥尔良披萨7英寸,76,103,奥尔良 披萨 7 英寸,奥尔良:2.179788490865635 披萨:2.179788490865635 英寸:1.471485154851581
奥利奥冰淇淋风,77,103,奥利奥 冰淇淋 风,奥利奥:2.675335594300865 冰淇淋:2.2347503143067584 风:2.2824505955203165
奥利奥轻脆甜心,76,103,奥利奥 轻脆 甜心,奥利奥:2.675335594300865 轻脆:2.906384654487513 甜心:2.6009544105294617
奥利奥随心棒牛奶味,76,103,奥利奥 随心 棒 牛奶 味,随心:1.6627377710708755 棒:1.36947035731219 牛奶:1.15494299685922
澳大利亚进口红酒纷赋黄牌NBA篮球限量版系列赤霞珠干红葡萄酒,76,103,澳大利亚 进口 红酒 纷赋 黄牌 NBA 篮球 限量版 系列 赤霞 珠 干红 葡萄酒,进口:0.4329316546234019 黄牌:0.600220248583722 限量版:0.67070415103558
澳大利亚进口红酒黄尾袋鼠西拉,77,103,澳大利亚 进口 红酒 黄尾 袋鼠 西拉,进口:0.9380185850173707 黄尾:1.4531923272437566 西拉:1.3376677971504325
澳冠多用途中筋烘焙粉,24,103,澳冠 多用途 中筋 烘焙 粉,澳冠:1.6627377710708755 烘焙:1.6627377710708755 粉:1.264251738132834
澳冠心形酥饼,28,103,澳冠 心形 酥饼,澳冠:2.771229618451459 心形:2.771229618451459 酥饼:2.906384654487513
澳吉乐薄荷糖澳吉乐糖,77,103,澳吉乐 薄荷糖 澳吉乐糖,澳吉乐:2.906384654487513 薄荷糖:2.369905350342813 澳吉乐糖:2.906384654487513
澳凯星咸味黄油,42,103,澳凯星 咸味 黄油,澳凯星:2.906384654487513 咸味:2.771229618451459 黄油:2.6009544105294617
澳天力牌大蒜软胶囊,76,103,澳天力 牌 大蒜 软胶囊,澳天力:2.078422213838594 牌:1.3336909250291915 软胶囊:1.6933109536018067
澳洲纷赋酒庄黄牌设拉子红酒原箱,76,103,澳洲 纷赋 酒庄 黄牌 设拉子 红酒 原箱,酒庄:1.0886488106849186 黄牌:1.1146947473697693 设拉子:1.1465723975575135
澳洲五兽经典西拉干红,76,103,澳洲 五兽 经典 西拉 干红,澳洲:1.5605726463176772 经典:1.1397458154636355 西拉:1.605201356580519
澳洲原瓶进口红酒BIN389干红葡萄酒,76,103,澳洲 原瓶 进口 红酒 BIN389 干红 葡萄酒,进口:0.8040159300148891 红酒:1.002057981603445 葡萄酒:0.7527380596615647
八喜摩卡杏仁味冰淇淋,22,103,八喜 摩卡 杏仁 味 冰淇淋,摩卡:1.605201356580519 杏仁:1.6627377710708755 味:1.008570658311093
巴堤院长咖啡师三合一速溶咖啡,76,103,巴堤 院长 咖啡师 三合一 速溶 咖啡,巴堤:1.4531923272437566 院长:1.4531923272437566 速溶:1.2443984991611954
巴克斯拉蒙卡斯特拉城堡干红葡萄酒,76,103,巴克斯 拉蒙 卡 斯特拉 城堡 干红 葡萄酒,拉蒙:1.2455934233517914 斯特拉:1.2455934233517914 葡萄酒:0.7527380596615647
巴龙波尔多干红葡萄酒,76,103,巴龙 波尔多 干红 葡萄酒,波尔多:1.9507158078970963 干红:1.2575686273371511 葡萄酒:1.3172916044077383
白记180花生糕,77,103,白记 180 花生 糕,白记:2.179788490865635 花生:1.1919775612202783 糕:2.078422213838594
白家四川铺盖面番茄酸汤味,76,103,白家 四川 铺盖 面 番茄 酸 汤味,铺盖:1.2455934233517914 面:0.8635721877194302 酸:1.0666272849953102
白家重庆小面火锅味,32,103,白家 重庆 小面 火锅 味,白家:1.6627377710708755 重庆:1.6627377710708755 火锅:1.4932781989934345
白马骏红岁月君红,34,103,白马 骏红 岁月 君红,白马:2.179788490865635 骏红:2.179788490865635 岁月:2.179788490865635
白雪清酒赤富士超特选纯米清酒,76,103,白雪 清酒 赤 富士 超 特选 纯米 清酒,赤:1.0898942454328175 超:0.8559189733201187 纯米:1.039211106919297
白洋河心悦红酒,76,103,白洋 河心 悦 红酒,白洋:2.179788490865635 河心:2.179788490865635 红酒:1.7536014678060288
百合康钙铁锌咀嚼片,76,103,百合 康钙 铁锌 咀嚼片,百合:1.866597748741793 康钙:2.179788490865635 铁锌:2.0065016957256487
百合康牌苦瓜洋参软胶囊,76,103,百合 康牌 苦瓜 洋参 软胶囊,百合:1.4932781989934345 苦瓜:1.743830792692508 软胶囊:1.3546487628814454
百合康牌越橘叶黄素软胶囊,77,103,百合 康牌 越橘 叶黄素 软胶囊,百合:1.4932781989934345 越橘:1.605201356580519 软胶囊:1.3546487628814454
百力滋微辣比萨味装饰饼干,36,103,百力 滋微辣 比萨 味 装饰 饼干,百力:1.4531923272437566 装饰:1.0018506270600551 饼干:0.8704410669993434
百利番茄沙司,77,103,百利 番茄 沙司,百利:2.771229618451459 番茄:2.4442865341142164 沙司:2.906384654487513
百年牛栏山白酒,76,103,百年 牛栏山 白酒,百年:2.3091314980781616 牛栏山:2.4887969983223908 白酒:2.2824505955203165
百年牛栏山陈酿三星,76,103,百年 牛栏山 陈酿 三星,百年:1.7318486235586215 牛栏山:1.866597748741793 陈酿:1.8037691416715667
百全雪域圣果红枣干,76,103,百全 雪域 圣果 红枣 干,百全:1.743830792692508 雪域:1.6627377710708755 红枣:1.4932781989934345
百特醇酿干白葡萄酒,76,103,百特 醇酿 干 白葡萄酒,百特:2.179788490865635 醇酿:2.078422213838594 白葡萄酒:1.443678746074025
百益果苹果汁,76,103,百益果 苹果汁,百益果:4.156844427677188 苹果汁:4.35957698173127
百益果葡萄汁,76,103,百益果 葡萄汁,百益果:4.156844427677188 葡萄汁:4.156844427677188
拜客全猫种通用猫主粮K69幼猫粮成猫粮美,78,103,拜客 全猫种 通用 猫 主粮 K69 幼 猫粮 成 猫粮 美,通用:0.5706188116448487 猫粮:1.5853007206295529 美:0.6157494376733843
扳倒井百年井窖,76,103,扳倒井 百年 井窖,扳倒井:2.906384654487513 百年:2.3091314980781616 井窖:2.771229618451459
半岛鲜烤鱿鱼翅,76,103,半岛 鲜烤 鱿鱼 翅,鲜烤:2.179788490865635 鱿鱼:2.179788490865635 翅:2.078422213838594
半岛阳光芒果果汁酒,79,103,半岛 阳光 芒果 果汁 酒,阳光:1.5605726463176772 芒果:1.46657192046853 酒:1.3279424843565408
半斤装老泸州传颂,76,103,半斤 装老 泸州 传颂,半斤:2.179788490865635 装老:2.179788490865635 泸州:1.6304823465315803
棒形饼干特惠装,76,103,棒形 饼干 特惠装,棒形:2.906384654487513 饼干:1.7408821339986869 特惠装:2.4887969983223908
磅榴莲慕斯蛋糕,76,103,磅 榴莲 慕斯 蛋糕,磅:2.078422213838594 榴莲:2.078422213838594 蛋糕:1.569201732023334
宝贝哒早餐饼干,76,103,宝贝 哒 早餐 饼干,宝贝:1.6169655412140114 早餐:1.7536014678060288 饼干:1.3056616004990151
宝豆苏格莱甜红葡萄酒,76,103,宝豆 苏格莱甜 红葡萄酒,宝豆:2.906384654487513 苏格莱甜:2.906384654487513 红葡萄酒:2.155954054952015
宝路中小型幼犬粮鸡肉,20,103,宝路 中小型 幼犬 粮 鸡肉,幼犬:1.743830792692508 粮:1.6627377710708755 鸡肉:1.5241083349588864
宝茸桑子&覆盆子果茸,76,103,宝茸桑子 覆盆子 果茸,宝茸桑子:2.906384654487513 覆盆子:2.675335594300865 果茸:2.675335594300865
宝茸西莲子果泥,76,103,宝茸西 莲子 果泥,宝茸西:2.906384654487513 莲子:2.675335594300865 果泥:2.906384654487513
宝石城堡金标,76,103,宝石 城堡 金标,宝石:2.675335594300865 城堡:2.5401805582648103 金标:2.771229618451459
宝烨微山湖双黄鹅蛋,76,103,宝烨 微山湖 双黄 鹅蛋,宝烨:2.179788490865635 微山湖:2.179788490865635 鹅蛋:2.179788490865635
保爵隆特酿美乐红葡萄洒,76,103,保爵 隆特酿 美乐 红葡萄 洒,隆特酿:1.743830792692508 美乐:1.605201356580519 红葡萄:1.605201356580519
北方绿人木糖醇五谷杂粮荞麦味饼干,34,103,北方 绿人 木糖醇 五谷杂粮 荞麦 味 饼干,绿人:1.2455934233517914 荞麦:1.0307252238123237 饼干:0.7460923431422943
北陆制果姆明牛奶味谷物饼干,76,103,北陆 制果姆明 牛奶 味 谷物 饼干,牛奶:0.9624524973826833 谷物:1.2443984991611954 饼干:0.8704410669993434
北美红叶绿豆奶场,77,103,北美 红叶 绿豆 奶场,红叶:2.179788490865635 绿豆:2.0065016957256487 奶场:2.179788490865635
贝儿芝士蛋糕,76,103,贝儿 芝士 蛋糕,贝儿:2.906384654487513 芝士:1.9719311941853352 蛋糕:2.0922689760311117
贝客诗蜜桃血橙夹心黑巧,76,103,贝客 诗 蜜桃 血 橙 夹心 黑巧,贝客:1.2455934233517914 诗:1.1465723975575135 黑巧:1.2455934233517914
贝灵哲仙粉黛红葡萄酒,79,103,贝灵 哲仙 粉黛 红葡萄酒,贝灵:2.179788490865635 粉黛:2.179788490865635 红葡萄酒:1.6169655412140114
贝因美冠军宝贝特选婴儿配方奶粉,76,103,贝因美 冠军 宝贝 特选 婴儿 配方 奶粉,贝因美:1.2455934233517914 特选:1.1465723975575135 配方:1.0307252238123237
备前雄町纯米大吟酿清酒,76,103,备前 雄 町 纯米 大吟酿 清酒,雄:1.4531923272437566 町:1.3856148092257294 纯米:1.3856148092257294
本杰克松露形代可可脂巧克力,76,103,杰克 松露 形代 可可 脂 巧克力,杰克:1.2700902791324051 松露:1.3376677971504325 脂:1.2700902791324051
本杰克松露形代可可脂巧克力制品,76,103,杰克 松露 形代 可可 脂 巧克力 制品,杰克:1.0886488106849186 松露:1.1465723975575135 脂:1.0886488106849186
比巴卜超能之星条形,71,103,比巴卜 超能 之星 条形,比巴卜:2.179788490865635 超能:2.0065016957256487 条形:2.179788490865635
比利时进口绨斯珂桃子味红茶茶棒,76,103,比利时 进口 绨 斯 珂 桃子 味 红茶 茶棒,进口:0.6253457233449138 绨:0.9687948848291711 茶棒:0.9687948848291711
避风塘糯米烧卖,74,103,避风塘 糯米 烧卖,避风塘:2.906384654487513 糯米:2.906384654487513 烧卖:2.906384654487513
便携式搅拌机家用榨汁机料理机加陶瓷刀两件套,76,103,便携式 搅拌机 家用 榨汁机 料理 机加 陶瓷 刀 两件套,榨汁机:0.9687948848291711 机加:0.9237432061504862 陶瓷:0.6881583687949205
宾格瑞牌哈密瓜味牛奶饮料,77,103,宾格 瑞牌 哈密瓜 味 牛奶 饮料,瑞牌:1.4531923272437566 牛奶:0.9624524973826833 饮料:1.1066187369637839
滨崎熊仔灌心饼,77,103,滨崎熊 仔灌 心饼,滨崎熊:2.906384654487513 仔灌:2.906384654487513 心饼:2.906384654487513
波力海苔白芝麻夹心脆,76,103,波力 海苔 白芝麻 夹心 脆,海苔:1.402881174244823 白芝麻:1.743830792692508 脆:1.605201356580519
波力海苔夹心脆,27,103,波力 海苔 夹心 脆,波力:2.0065016957256487 海苔:1.7536014678060288 脆:2.0065016957256487
波力海苔塑罐,40,103,波力 海苔 塑罐,波力:2.675335594300865 海苔:2.3381352904080384 塑罐:2.906384654487513
波士蓝橙味力娇酒,76,103,波士 蓝橙味力 娇酒,波士:2.906384654487513 蓝橙味力:2.906384654487513 娇酒:2.906384654487513
波特米勒站赤霞珠干红葡萄酒,76,103,波特 米勒 站 赤霞 珠 干红 葡萄酒,米勒:1.1876698364791967 赤霞:0.939869685709467 葡萄酒:0.7527380596615647
菠萝香蕉手指谷物圈,76,103,菠萝 香蕉 手指 谷物 圈,菠萝:1.605201356580519 香蕉:1.6627377710708755 谷物:1.4932781989934345
伯德卢科庄园红葡萄酒,76,103,伯德 卢科 庄园 红葡萄酒,卢科:2.179788490865635 庄园:1.7536014678060288 红葡萄酒:1.6169655412140114
伯格朗雷蒂诺白起泡葡萄酒,76,103,伯格 朗雷 蒂诺 白 起泡 葡萄酒,蒂诺:1.4531923272437566 起泡:1.3856148092257294 葡萄酒:0.8781944029384922
伯朗咖啡饮料法式香草风味,76,103,伯朗 咖啡 饮料 法式 香草 风味,饮料:1.1066187369637839 香草:1.2443984991611954 风味:0.9380185850173707
勃艮地夏珑庄园白,76,103,勃艮地 夏珑 庄园 白,夏珑:2.179788490865635 庄园:1.7536014678060288 白:1.4945784848843349
博塔酒庄干红葡萄酒,76,103,博塔 酒庄 干红 葡萄酒,酒庄:1.9051354186986078 干红:1.2575686273371511 葡萄酒:1.3172916044077383
补AD多维营养补充品,76,103,补 AD 多维 营养 补充品,补:1.605201356580519 营养:1.2468494627349083 补充品:1.5605726463176772
补钙营养补充品,76,103,补钙 营养 补充品,补钙:2.906384654487513 营养:2.0780824378915135 补充品:2.6009544105294617
补全营养补充品,76,103,补全 营养 补充品,补全:2.906384654487513 营养:2.0780824378915135 补充品:2.6009544105294617
补锌营养补充品,76,103,补锌 营养 补充品,补锌:2.906384654487513 营养:2.0780824378915135 补充品:2.6009544105294617
不二家牛奶抹茶味,76,103,不 二家 牛奶 抹 茶味,牛奶:1.15494299685922 抹:0.96959059051093 茶味:1.6627377710708755
布琅兄弟设拉子红葡萄,76,103,布琅 兄弟 设拉子 红葡萄,布琅:2.179788490865635 设拉子:2.0065016957256487 红葡萄:2.0065016957256487
彩虹糖迷你通,76,103,彩虹 糖 迷你 通,糖:1.7118379466402374 迷你:1.569201732023334 通:1.8332149005856624
彩印杯圆形盖,77,103,彩印 杯 圆形 盖,彩印:1.9507158078970963 杯:1.4127752570822307 盖:1.4127752570822307
草原红太蒜蓉酱,76,103,草原 红太 蒜蓉 酱,草原:1.9507158078970963 蒜蓉:2.179788490865635 酱:1.4246822693295444
草原红太阳麻辣板料,76,103,草原 红太阳 麻辣 板料,草原:1.9507158078970963 红太阳:1.9051354186986078 麻辣:1.4186578814347794
草原红太阳茵汤鲜,76,103,草原 红太阳 茵 汤鲜,草原:1.9507158078970963 红太阳:1.9051354186986078 茵:2.078422213838594
草原人家火锅麻辣蘸料,77,103,草原 火锅 麻辣 蘸 料,草原:1.5605726463176772 麻辣:1.1349263051478236 蘸:1.743830792692508
常陆野猫头鹰拉格啤酒,76,103,常陆野 猫头鹰 拉格 啤酒,常陆野:2.179788490865635 猫头鹰:2.0065016957256487 拉格:2.179788490865635
畅意100%乳酸菌饮品原味,76,103,畅意 100% 乳酸菌 饮品 原味,畅意:1.743830792692508 饮品:1.5241083349588864 原味:1.2468494627349083
超高温灭菌轻欣脱脂牛奶,25,103,超高温 灭菌 轻欣 脱脂 牛奶,超高温:1.605201356580519 轻欣:1.743830792692508 脱脂:1.605201356580519
超级牌原味咖啡,76,103,超级 牌 原味 咖啡,超级:1.7118379466402374 牌:1.3336909250291915 咖啡:1.6304823465315803
超市双汇王中王,76,103,超市 双汇 王中王,超市:2.4050255222287555 双汇:2.771229618451459 王中王:2.675335594300865
炒面套餐鱼香肉丝炒面12入HP碗面,28,103,炒面 套餐 鱼香肉丝 炒面 12 入 HP 碗面,炒面:2.078422213838594 鱼香肉丝:1.0898942454328175 碗面:1.039211106919297
成都记忆瓶装酸奶,76,103,成都 记忆 瓶装 酸奶,记忆:1.676062735730069 瓶装:1.9507158078970963 酸奶:1.4503458078445655
